state	year	name	type	city	county	district	enroll	mmr	overall	xrel	xmed	xper
Illinois	2018-19	Marie Schaefer Elementary	NA	O Fallon	Saint Clair	NA	586	95.56313993	-1	NA	NA	NA
Illinois	2018-19	St Hilary	NA	Chicago	Cook	NA	180	95.55555556	-1	NA	NA	NA
Illinois	2018-19	Willow Grove Early Learning Ctr	NA	Buffalo Grove	Lake	NA	315	95.55555556	-1	NA	0.63	NA
Illinois	2018-19	Circle Center Grade	NA	Yorkville	Kendall	NA	494	95.5465587	-1	NA	NA	NA
Illinois	2018-19	Montessori Elementary	NA	Rockford	Winnebago	NA	583	95.54030875	-1	NA	NA	NA
Illinois	2018-19	Ridge Family Center for Learning	NA	Elk Grove Village	Cook	NA	269	95.53903346	-1	NA	NA	NA
Illinois	2018-19	Murray Elementary Language Academy	NA	Chicago	Cook	NA	493	95.53752535	-1	NA	0.81	NA
Illinois	2018-19	Trinity Lutheran	NA	Stewardson	Shelby	NA	112	95.53571429	-1	NA	NA	NA
Illinois	2018-19	Lincoln Elementary	NA	Clinton	Dewitt	NA	179	95.53072626	-1	NA	NA	NA
Illinois	2018-19	Briargate Elementary	NA	Cary	McHenry	NA	357	95.51820728	-1	NA	NA	NA
Illinois	2018-19	Lowell Elementary	NA	Wheaton	Dupage	NA	357	95.51820728	-1	NA	3.92	NA
Illinois	2018-19	Sutherland Elementary	NA	Chicago	Cook	NA	602	95.51495017	-1	NA	0.33	NA
Illinois	2018-19	Potomac Elementary	NA	Potomac	Vermilion	NA	156	95.51282051	-1	NA	2.56	NA
Illinois	2018-19	Goodfield Elementary	NA	Goodfield	Woodford	NA	89	95.50561798	-1	NA	NA	NA
Illinois	2018-19	Glen Hill Primary	NA	Glendale Heights	Dupage	NA	378	95.5026455	-1	NA	NA	NA
Illinois	2018-19	Jordan Catholic	NA	Rock Island	Rock Island	NA	378	95.5026455	-1	NA	NA	NA
Illinois	2018-19	Smyser Elementary	NA	Chicago	Cook	NA	866	95.4965358	-1	NA	0.23	NA
Illinois	2018-19	Jefferson Elementary	NA	Metropolis	Massac	NA	111	95.4954955	-1	NA	NA	NA
Illinois	2018-19	Wells Elementary	NA	Grayville	White	NA	155	95.48387097	-1	NA	NA	NA
Illinois	2018-19	Butterfield Elementary	NA	Lombard	Dupage	NA	287	95.47038328	-1	NA	NA	NA
Illinois	2018-19	Tilton Elementary	NA	Chicago	Cook	NA	309	95.46925566	-1	NA	0.65	NA
Illinois	2018-19	John F Kennedy Elementary	NA	Schiller Park	Cook	NA	683	95.46120059	-1	NA	NA	NA
